variety,combination,altitude_m,annotation_method,index,treatment_no,d12,d23,d34,p12_%,p23_%,p34_%
Enrosadira,CONTROL,30,Edges,SIPI2,4,-0.01898,0.02503,-0.00077,-2.032422384,2.735874939,-0.08192265
Enrosadira,CONTROL,50,Bounded,GNDVI,1,0.01708,-0.00511,0.04249,2.478052263,-0.72345685,6.059430622
Enrosadira,CONTROL,50,Bounded,GNDVI,2,-0.01344,0.04955,-0.0391,-1.774419056,6.660026801,-4.92728164
Enrosadira,CONTROL,50,Bounded,GNDVI,3,-0.02456,-0.00549,0.02354,-3.093195097,-0.713504999,3.081349458
Enrosadira,CONTROL,50,Bounded,GNDVI,4,-0.03841,0.03259,0.03659,-4.892800412,4.364999109,4.695775599
Enrosadira,CONTROL,50,Bounded,LCI,1,0.00024,-0.04497,0.0779,0.077494099,-14.50921304,29.39944371
Enrosadira,CONTROL,50,Bounded,LCI,2,-0.01596,0.03073,-0.04117,-4.261898467,8.571324971,-10.57672299
Enrosadira,CONTROL,50,Bounded,LCI,3,-0.07183,7.00E-05,0.04634,-16.19576516,0.018833354,12.46533298
Enrosadira,CONTROL,50,Bounded,LCI,4,-0.09021,0.08852,0.02496,-23.27213252,29.76252517,6.46730977
Enrosadira,CONTROL,50,Bounded,MCARI,1,0.0257,-0.20127,0.05654,2.166562273,-16.60765518,5.594469253
Enrosadira,CONTROL,50,Bounded,MCARI,2,0.16592,0.02123,0.1367,17.6456012,1.919163704,12.12480298
Enrosadira,CONTROL,50,Bounded,MCARI,3,-0.03858,0.23414,-0.2216,-4.315672783,27.37291772,-20.33939997
Enrosadira,CONTROL,50,Bounded,MCARI,4,0.23278,-0.26952,0.29118,25.42929274,-23.47365093,33.13906046
Enrosadira,CONTROL,50,Bounded,MCARI2,1,0.00559,-0.0729,0.0694,0.630277446,-8.168058075,8.467534813
Enrosadira,CONTROL,50,Bounded,MCARI2,2,-0.05343,0.06333,-0.02483,-6.0349628,7.612593174,-2.77355483
Enrosadira,CONTROL,50,Bounded,MCARI2,3,-0.07606,-0.03279,0.07572,-8.386618019,-3.946508501,9.487877645
Enrosadira,CONTROL,50,Bounded,MCARI2,4,-0.05555,0.00411,0.10166,-6.769181276,0.537198022,13.21648329
Enrosadira,CONTROL,50,Bounded,NDRE,1,-0.00079,-0.0305,0.05593,-0.396544541,-15.37058222,33.30534565
Enrosadira,CONTROL,50,Bounded,NDRE,2,-0.01138,0.02107,-0.03243,-4.560007373,8.846213594,-12.50911279
Enrosadira,CONTROL,50,Bounded,NDRE,3,-0.05671,-0.00092,0.03686,-18.62513589,-0.371310605,14.93208454
Enrosadira,CONTROL,50,Bounded,NDRE,4,-0.07007,0.06901,0.01509,-26.90023457,36.24265405,5.816799719
Enrosadira,CONTROL,50,Bounded,NDVI,1,0.00204,-0.01801,0.02615,0.232454526,-2.047449442,3.034977095
Enrosadira,CONTROL,50,Bounded,NDVI,2,-0.01363,0.02676,-0.01037,-1.528247919,3.046999628,-1.145855087
Enrosadira,CONTROL,50,Bounded,NDVI,3,-0.02452,-0.00157,0.01702,-2.683092034,-0.176533225,1.917139475
Enrosadira,CONTROL,50,Bounded,NDVI,4,-0.01638,0.01114,0.02656,-1.831270452,1.268675669,2.986884025
Enrosadira,CONTROL,50,Bounded,OSAVI,1,0.0073,-0.03139,0.03917,1.034080752,-4.401036957,5.744656824
Enrosadira,CONTROL,50,Bounded,OSAVI,2,-0.02578,0.03721,-0.01966,-3.574692068,5.350869498,-2.68355239
Enrosadira,CONTROL,50,Bounded,OSAVI,3,-0.03528,-0.01434,0.03405,-4.804438386,-2.051381822,4.972973605
Enrosadira,CONTROL,50,Bounded,OSAVI,4,-0.02865,0.00644,0.0477,-4.112237531,0.963998258,7.071999478
Enrosadira,CONTROL,50,Bounded,SIPI2,1,0.01211,0.00567,0.0166,1.389126273,0.641489069,1.866109981
Enrosadira,CONTROL,50,Bounded,SIPI2,2,-0.0017,0.01931,-0.02092,-0.186221575,2.119204426,-2.248251211
Enrosadira,CONTROL,50,Bounded,SIPI2,3,-0.00323,-0.00263,0.00657,-0.348883303,-0.28506982,0.714168472
Enrosadira,CONTROL,50,Bounded,SIPI2,4,-0.01724,0.01638,0.01,-1.853283181,1.794083468,1.075984984
Enrosadira,CONTROL,50,Edges,GNDVI,1,0.00218,-0.01013,0.05113,0.315096748,-1.459588981,7.476228285
Enrosadira,CONTROL,50,Edges,GNDVI,2,-0.02775,0.06664,-0.04041,-3.754053363,9.366772975,-5.19347994
Enrosadira,CONTROL,50,Edges,GNDVI,3,-0.05075,-0.00782,0.02189,-6.487106955,-1.068932475,3.024520864
Enrosadira,CONTROL,50,Edges,GNDVI,4,-0.03977,0.03976,0.04425,-5.310802817,5.607257845,5.909131578
Enrosadira,CONTROL,50,Edges,LCI,1,-0.01933,-0.04178,0.08716,-5.812292713,-13.337973,32.10774292
Enrosadira,CONTROL,50,Edges,LCI,2,-0.03065,0.03632,-0.04321,-8.197576299,10.58148648,-11.38420438
Enrosadira,CONTROL,50,Edges,LCI,3,-0.10013,-0.00063,0.03634,-22.24117672,-0.179963493,10.39946658
Enrosadira,CONTROL,50,Edges,LCI,4,-0.08966,0.09573,0.0253,-24.95539703,35.50539461,6.924847612
Enrosadira,CONTROL,50,Edges,MCARI,1,0.04781,-0.1813,0.03535,4.912856146,-17.75760526,4.209982243
Enrosadira,CONTROL,50,Edges,MCARI,2,0.14109,0.06261,0.14481,17.79931397,6.705141894,14.53374295
Enrosadira,CONTROL,50,Edges,MCARI,3,-0.01889,0.1908,-0.16127,-2.515008168,26.05841839,-17.47235377
Enrosadira,CONTROL,50,Edges,MCARI,4,0.21588,-0.26555,0.27736,26.67816772,-25.90526993,36.51727184
Enrosadira,CONTROL,50,Edges,MCARI2,1,0.01827,-0.09325,0.06495,2.37063065,-11.81949196,9.335907236
Enrosadira,CONTROL,50,Edges,MCARI2,2,-0.05448,0.10022,-0.0134,-7.05936318,13.97259854,-1.639181828
Enrosadira,CONTROL,50,Edges,MCARI2,3,-0.07503,-0.03424,0.09268,-9.493610824,-4.786862969,13.60837881
Enrosadira,CONTROL,50,Edges,MCARI2,4,-0.04876,-0.01001,0.1181,-6.67012302,-1.467180449,17.56784296
Enrosadira,CONTROL,50,Edges,NDRE,1,-0.01511,-0.02586,0.06356,-6.842646306,-12.57103412,35.34036508
Enrosadira,CONTROL,50,Edges,NDRE,2,-0.0221,0.02193,-0.03495,-8.637164821,9.380975399,-13.66830791
Enrosadira,CONTROL,50,Edges,NDRE,3,-0.07805,-0.00089,0.02689,-24.6789835,-0.373618347,11.33064499
Enrosadira,CONTROL,50,Edges,NDRE,4,-0.06898,0.07377,0.01348,-28.31912177,42.25061712,5.427364708
Enrosadira,CONTROL,50,Edges,NDVI,1,-0.01782,-0.02754,0.04016,-2.048320596,-3.231783665,4.87011609
Enrosadira,CONTROL,50,Edges,NDVI,2,-0.03375,0.05883,-0.00703,-3.940910858,7.151270709,-0.797521444
Enrosadira,CONTROL,50,Edges,NDVI,3,-0.05956,-0.00381,0.02274,-6.638127326,-0.454827076,2.727040513
Enrosadira,CONTROL,50,Edges,NDVI,4,-0.01645,0.01746,0.04073,-1.93222302,2.091265911,4.778491742
Enrosadira,CONTROL,50,Edges,OSAVI,1,0.01144,-0.04837,0.03982,1.754463991,-7.290226996,6.473523095
Enrosadira,CONTROL,50,Edges,OSAVI,2,-0.03061,0.06195,-0.0133,-4.615841641,9.793831546,-1.915071614
Enrosadira,CONTROL,50,Edges,OSAVI,3,-0.04071,-0.01424,0.04442,-6.02922642,-2.244283303,7.161501368
Enrosadira,CONTROL,50,Edges,OSAVI,4,-0.02707,0.00174,0.06039,-4.176753673,0.280174739,9.696827617
Enrosadira,CONTROL,50,Edges,SIPI2,1,0.01445,0.00759,0.01372,1.645765258,0.850457331,1.524358064
Enrosadira,CONTROL,50,Edges,SIPI2,2,-0.00069,0.01291,-0.02365,-0.074911165,1.402649497,-2.533989206
Enrosadira,CONTROL,50,Edges,SIPI2,3,-0.00031,-0.00213,0.00179,-0.033424586,-0.229736041,0.19350912
Enrosadira,CONTROL,50,Edges,SIPI2,4,-0.01857,0.01783,0.00714,-1.994284554,1.95377776,0.767394545
Enrosadira,KAISHI,30,Bounded,GNDVI,1,0.0096,0.00556,0.04597,1.34761241,0.770114035,6.318631096
Enrosadira,KAISHI,30,Bounded,GNDVI,2,-0.0304,0.05203,-0.04471,-3.878337571,6.90565021,-5.550789538
Enrosadira,KAISHI,30,Bounded,GNDVI,3,-0.02074,-0.01193,0.01814,-2.561249554,-1.512000314,2.334346943
Enrosadira,KAISHI,30,Bounded,GNDVI,4,-0.03,0.03191,0.03431,-3.807681617,4.210423536,4.34418726
Enrosadira,KAISHI,30,Bounded,LCI,1,0.03141,0.00589,-0.03801,10.01782861,1.70748889,-10.83396752
Enrosadira,KAISHI,30,Bounded,LCI,2,0.00109,0.02338,-0.05207,0.270591652,5.788403881,-12.1860746
Enrosadira,KAISHI,30,Bounded,LCI,3,-0.09659,0.02948,0.04233,-20.08563271,7.671070333,10.23004923
Enrosadira,KAISHI,30,Bounded,LCI,4,-0.06227,0.07554,0.0412,-16.11079633,23.29748551,10.30564234
Enrosadira,KAISHI,30,Bounded,MCARI,1,0.20802,-0.20436,-0.03998,18.09056763,-15.04969803,-3.465849935
Enrosadira,KAISHI,30,Bounded,MCARI,2,-0.02664,0.09706,0.13632,-2.521053732,9.422742925,12.09453111
Enrosadira,KAISHI,30,Bounded,MCARI,3,0.02267,0.03171,-0.07379,2.578506832,3.516062897,-7.904058716
Enrosadira,KAISHI,30,Bounded,MCARI,4,0.2336,-0.1344,0.10964,24.97858749,-11.49896347,10.59937104
Enrosadira,KAISHI,30,Bounded,MCARI2,1,0.03182,-0.05212,0.01082,3.585226882,-5.669216654,1.247649127
Enrosadira,KAISHI,30,Bounded,MCARI2,2,-0.06921,0.08924,-0.01782,-7.816444009,10.93317946,-1.968036525
Enrosadira,KAISHI,30,Bounded,MCARI2,3,-0.07724,0.00973,0.00599,-8.467060788,1.165268066,0.709101477
Enrosadira,KAISHI,30,Bounded,MCARI2,4,-0.01988,0.03415,0.06857,-2.448996687,4.312516653,8.30114124
